data,valorBF
01-2016,1094290.0
02-2016,1094425.0
03-2016,1078087.0
04-2016,1092575.0
05-2016,1097680.0
06-2016,1100225.0
01-2017,1266435.0
02-2017,1285263.0
03-2017,1289578.0
04-2017,1283770.0
05-2017,1288354.0
06-2017,1284880.0
